BatchId,LocationId,StoreNumber,CurrentNamePresence,CurrentName,ProposedName,CurrentTypePresence,CurrentType,ProposedType,CurrentApplicabilityPresence,CurrentApplicabilitySaved,CurrentApplicabilityEffective,ProposedApplicability,CurrentRegionIdPresence,CurrentRegionId,ProposedRegionId,CurrentDistrictIdPresence,CurrentDistrictId,ProposedDistrictId,CurrentVersionPresent,CurrentVersion,EffectiveConcurrencyVersion,UpdatedAt,CurrentLegacyDistrictPresence,CurrentLegacyDistrict,ProposedLegacyDistrict,ChangedFields,ApprovalBasis,PreservationNotes
"B1","loc-07","07","true","Southland Mall East","Southland Mall East","true","Enclosed Mall","Enclosed Mall","false","","Applicable","Applicable","false","","region-west","false","","03","false","","0","2026-09-08T07:31:55.273Z","true","Northern California, Nevada, Northwest & Texas","Northern California, Nevada, Northwest & Texas","hierarchyApplicability;regionId;districtId","Approved District 03 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-09","09","true","Solano Town Center","Solano Town Center","true","Enclosed Mall","Enclosed Mall","false","","Applicable","Applicable","false","","region-west","false","","03","false","","0","2026-09-08T07:13:14.769Z","true","Northern California, Nevada, Northwest & Texas","Northern California, Nevada, Northwest & Texas","hierarchyApplicability;regionId;districtId","Approved District 03 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-103","103","true","Florin Mall","Florin Mall","true","Strip Center / Shopping Center","Strip Center / Shopping Center","false","","Applicable","Applicable","false","","region-west","false","","01","false","","0","2026-09-08T07:13:14.770Z","true","Central & Southern California","Central & Southern California","hierarchyApplicability;regionId;districtId","Approved District 01 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-105","105","true","Ontario Mills","Ontario Mills","true","Enclosed Mall","Enclosed Mall","false","","Applicable","Applicable","false","","region-west","false","","02","true","1","1","2026-09-17T23:26:36.569Z","true","Inland Empire, San Diego & LA South","Inland Empire, San Diego & LA South","hierarchyApplicability;regionId;districtId","Approved District 02 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-108","108","true","Tacoma Mall","Tacoma Mall","true","Enclosed Mall","Enclosed Mall","false","","Applicable","Applicable","false","","region-west","false","","03","false","","0","2026-09-08T07:13:14.770Z","true","Northern California, Nevada, Northwest & Texas","Northern California, Nevada, Northwest & Texas","hierarchyApplicability;regionId;districtId","Approved District 03 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-11","11","true","Compton","Compton","true","Strip Center / Shopping Center","Strip Center / Shopping Center","false","","Applicable","Applicable","false","","region-west","false","","01","false","","0","2026-09-08T07:13:14.769Z","true","Central & Southern California","Central & Southern California","hierarchyApplicability;regionId;districtId","Approved District 01 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-115","115","true","Eastmont Town Center","Eastmont Town Center","true","Strip Center / Shopping Center","Strip Center / Shopping Center","false","","Applicable","Applicable","false","","region-west","false","","03","false","","0","2026-09-08T07:13:14.770Z","true","Northern California, Nevada, Northwest & Texas","Northern California, Nevada, Northwest & Texas","hierarchyApplicability;regionId;districtId","Approved District 03 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-116","116","true","Los Cerritos Center","Los Cerritos Center","true","Enclosed Mall","Enclosed Mall","false","","Applicable","Applicable","false","","region-west","false","","02","false","","0","2026-09-08T07:13:14.770Z","true","Inland Empire, San Diego & LA South","Inland Empire, San Diego & LA South","hierarchyApplicability;regionId;districtId","Approved District 02 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-118","118","true","SouthCenter Mall","SouthCenter Mall","true","Enclosed Mall","Enclosed Mall","false","","Applicable","Applicable","false","","region-west","false","","03","false","","0","2026-09-08T07:13:14.770Z","true","Northern California, Nevada, Northwest & Texas","Northern California, Nevada, Northwest & Texas","hierarchyApplicability;regionId;districtId","Approved District 03 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
"B1","loc-119","119","true","Sharpstown Mall","Sharpstown Mall","true","Enclosed Mall","Enclosed Mall","false","","Applicable","Applicable","false","","region-west","false","","03","false","","0","2026-09-08T07:13:14.770Z","true","Northern California, Nevada, Northwest & Texas","Northern California, Nevada, Northwest & Texas","hierarchyApplicability;regionId;districtId","Approved District 03 roster","Preserve document ID, Store Number, lifecycle, contacts, People/leadership, hours, custom fields, and legacy District text."
